epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8,0.95429,2.90249,1.52598,0.56252,0.29063,0.36924,0.1653,1.29441,2.7001,2.13468,0.00029,0.00029,0.00029
2,45.1853,1.03922,1.97897,1.54853,0.0369,0.03498,0.00504,0.00228,3.82228,6.11277,4.3087,0.000584159,0.000584159,0.000584159
3,65.2465,1.10716,1.83141,1.61298,0.00569,0.11169,0.00474,0.00087,3.74332,14.657,5.58339,0.000872378,0.000872378,0.000872378
4,84.8005,1.13603,1.82629,1.60786,0.51659,0.04909,0.00454,0.00084,3.78528,214.856,8.99673,0.0009703,0.0009703,0.0009703
5,105.258,1.06335,1.75652,1.55808,0.54676,0.21343,0.04422,0.01366,2.80538,19.7504,5.14305,0.0009604,0.0009604,0.0009604
6,125.596,1.04359,1.67825,1.56468,0.50824,0.06141,0.00451,0.00277,3.09805,9.01654,3.63503,0.0009505,0.0009505,0.0009505
7,145.916,0.9818,1.61586,1.49835,0.65069,0.21463,0.17979,0.07889,1.98758,3.14293,2.94577,0.0009406,0.0009406,0.0009406
8,165.603,1.01801,1.67182,1.53182,0.40809,0.21366,0.14404,0.0636,2.50596,5.05075,3.08318,0.0009307,0.0009307,0.0009307
9,185.932,0.98615,1.53633,1.52232,0.78784,0.34917,0.46464,0.2103,1.50247,2.07378,2.19653,0.0009208,0.0009208,0.0009208
10,205.934,0.94364,1.52072,1.48035,0.37533,0.38712,0.20205,0.07496,2.04717,3.22628,2.80802,0.0009109,0.0009109,0.0009109
11,226.19,0.94296,1.44506,1.49378,0.84458,0.27305,0.35124,0.23491,1.13555,2.16037,2.15886,0.000901,0.000901,0.000901
12,246.624,0.89786,1.48908,1.44821,0.80219,0.28713,0.37633,0.2771,0.99828,1.90788,1.70088,0.0008911,0.0008911,0.0008911
13,266.867,0.88229,1.39914,1.45487,0.68139,0.08019,0.08616,0.0335,1.88975,4.78931,2.70178,0.0008812,0.0008812,0.0008812
14,287.129,0.87737,1.41216,1.41183,0.58447,0.61755,0.57003,0.35933,1.15168,1.75506,1.94913,0.0008713,0.0008713,0.0008713
15,307.198,0.83828,1.3906,1.40469,0.79762,0.2816,0.38636,0.22559,1.34382,2.22281,2.18913,0.0008614,0.0008614,0.0008614
16,327.54,0.88752,1.44157,1.44611,0.87256,0.37319,0.50765,0.34113,1.05561,1.75001,1.81208,0.0008515,0.0008515,0.0008515
17,347.3,0.90069,1.48126,1.45464,0.76564,0.3435,0.48028,0.31849,1.20009,1.80565,1.8842,0.0008416,0.0008416,0.0008416
18,367.466,0.87011,1.38186,1.42767,0.66986,0.5118,0.5019,0.39646,1.00856,1.38401,1.75652,0.0008317,0.0008317,0.0008317
19,387.258,0.83628,1.31516,1.40496,0.86624,0.41107,0.54224,0.43501,0.8287,1.13585,1.57156,0.0008218,0.0008218,0.0008218
20,407.741,0.79017,1.28149,1.37371,0.77868,0.42739,0.55662,0.429,1.09426,1.61082,1.7994,0.0008119,0.0008119,0.0008119
21,427.863,0.8649,1.31484,1.42545,0.77922,0.54108,0.63763,0.46431,0.88693,1.20053,1.63508,0.000802,0.000802,0.000802
22,448.113,0.81517,1.25217,1.39462,0.85226,0.44217,0.54862,0.36745,1.07356,1.47415,1.74681,0.0007921,0.0007921,0.0007921
23,468.317,0.76608,1.16124,1.35285,0.83959,0.3128,0.48533,0.38738,0.82589,1.64366,1.65946,0.0007822,0.0007822,0.0007822
24,488.491,0.79669,1.21726,1.36972,0.69393,0.49811,0.57633,0.43473,0.85052,1.2259,1.67462,0.0007723,0.0007723,0.0007723
25,508.685,0.82819,1.26264,1.40395,0.87391,0.50478,0.61547,0.47022,0.97776,1.2558,1.81503,0.0007624,0.0007624,0.0007624
26,528.575,0.78383,1.16799,1.35782,0.82044,0.56871,0.651,0.54554,0.74691,0.96608,1.45554,0.0007525,0.0007525,0.0007525
27,548.974,0.76993,1.2608,1.36144,0.59389,0.49752,0.4785,0.36997,0.81966,1.30712,1.55111,0.0007426,0.0007426,0.0007426
28,568.794,0.76476,1.19731,1.34994,0.83873,0.41355,0.57103,0.46184,0.73312,1.08337,1.50891,0.0007327,0.0007327,0.0007327
29,589.158,0.76817,1.23466,1.35577,0.86829,0.56608,0.61705,0.42939,1.24444,1.35873,2.14548,0.0007228,0.0007228,0.0007228
30,608.892,0.7684,1.17978,1.35801,0.84802,0.54588,0.68568,0.47359,0.94766,1.09873,1.65214,0.0007129,0.0007129,0.0007129
31,629.247,0.77472,1.14828,1.36631,0.9417,0.5941,0.72924,0.60254,0.72538,0.84735,1.52321,0.000703,0.000703,0.000703
32,649.242,0.73694,1.13505,1.33812,0.85894,0.49434,0.56925,0.44861,0.91962,1.13909,1.65054,0.0006931,0.0006931,0.0006931
33,669.458,0.76732,1.15516,1.36765,0.84642,0.48044,0.56059,0.44692,0.80148,1.18642,1.49412,0.0006832,0.0006832,0.0006832
34,689.656,0.74084,1.12554,1.33622,0.90823,0.58198,0.68898,0.55751,0.88242,0.95641,1.6909,0.0006733,0.0006733,0.0006733
35,709.524,0.73755,1.0714,1.34238,0.88843,0.53942,0.66045,0.55324,0.71023,0.96809,1.42516,0.0006634,0.0006634,0.0006634
36,729.844,0.69057,1.00706,1.29836,0.86075,0.63603,0.67204,0.52586,0.67572,0.88472,1.41673,0.0006535,0.0006535,0.0006535
37,749.591,0.68869,1.00289,1.30264,0.87353,0.62787,0.65275,0.5561,0.6402,1.00813,1.39457,0.0006436,0.0006436,0.0006436
38,769.706,0.7002,1.06968,1.31983,0.87745,0.68612,0.71578,0.59908,0.68185,0.79173,1.38625,0.0006337,0.0006337,0.0006337
39,789.487,0.69363,1.04356,1.29022,0.80345,0.68549,0.72179,0.59081,0.77367,1.02317,1.49739,0.0006238,0.0006238,0.0006238
40,809.777,0.69577,0.99871,1.30819,0.94821,0.63821,0.72426,0.61457,0.62596,0.73412,1.37056,0.0006139,0.0006139,0.0006139
41,829.622,0.67538,0.9611,1.28289,0.90477,0.59265,0.69891,0.59788,0.68015,0.91583,1.38559,0.000604,0.000604,0.000604
42,849.546,0.7099,0.98404,1.3192,0.88862,0.62437,0.74178,0.6284,0.68902,0.84997,1.45656,0.0005941,0.0005941,0.0005941
43,869.888,0.71679,0.96089,1.32438,0.86119,0.56175,0.73162,0.6172,0.68093,0.92381,1.40657,0.0005842,0.0005842,0.0005842
44,889.747,0.66599,0.92412,1.27813,0.84518,0.66195,0.74213,0.64825,0.55276,0.77853,1.26005,0.0005743,0.0005743,0.0005743
45,910.406,0.64635,0.91618,1.26969,0.86588,0.67155,0.71542,0.61377,0.59716,0.845,1.29868,0.0005644,0.0005644,0.0005644
46,930.18,0.69691,0.97769,1.30053,0.89464,0.49117,0.66233,0.56238,0.72709,1.19845,1.39582,0.0005545,0.0005545,0.0005545
47,950.495,0.63439,0.86915,1.24627,0.85083,0.66292,0.72762,0.59164,0.74473,1.01378,1.39612,0.0005446,0.0005446,0.0005446
48,970.268,0.66297,0.89897,1.28001,0.88585,0.63427,0.74449,0.63272,0.70811,0.88876,1.44621,0.0005347,0.0005347,0.0005347
49,990.634,0.65035,0.86167,1.267,0.85094,0.60422,0.66981,0.56563,0.63994,0.96671,1.39776,0.0005248,0.0005248,0.0005248
50,1010.31,0.64341,0.91657,1.24732,0.92166,0.67945,0.76312,0.66131,0.58245,0.7629,1.26674,0.0005149,0.0005149,0.0005149
51,1030.95,0.65954,0.86692,1.26693,0.9291,0.68543,0.73449,0.61314,0.66462,0.76343,1.33469,0.000505,0.000505,0.000505
52,1051,0.65819,0.85635,1.27123,0.91124,0.68089,0.70716,0.61662,0.64141,0.83931,1.32549,0.0004951,0.0004951,0.0004951
53,1071.08,0.60224,0.85469,1.23324,0.90194,0.65475,0.77178,0.62783,0.70044,0.87936,1.45613,0.0004852,0.0004852,0.0004852
54,1091.29,0.63533,0.83763,1.25442,0.87893,0.72913,0.80517,0.67295,0.64752,0.76862,1.34005,0.0004753,0.0004753,0.0004753
55,1111.43,0.61715,0.86295,1.23877,0.90965,0.59984,0.70868,0.60583,0.6354,0.7898,1.30317,0.0004654,0.0004654,0.0004654
56,1131.62,0.57352,0.78705,1.19928,0.96153,0.69972,0.82955,0.70433,0.56621,0.65958,1.24964,0.0004555,0.0004555,0.0004555
57,1151.58,0.63002,0.83982,1.26222,0.90538,0.69118,0.7404,0.63693,0.6954,0.80973,1.36299,0.0004456,0.0004456,0.0004456
